klucz,age,height_cm,weight_kg,value_eur,overall
00003964,24,178,75,3100000,71
00003905,22,186,80,2500000,71
00015070,22,191,82,325000,60
00005001,33,173,65,1100000,70
00016054,35,194,87,45000,59
00002748,40,193,88,400000,73
00003394,27,186,84,3500000,72
00007012,33,188,88,575000,68
00010230,29,178,78,500000,65
00017394,23,173,73,110000,56
00002186,25,185,79,6500000,74
00002656,28,187,74,3600000,73
00002599,25,173,71,4800000,73
00006582,23,191,77,1200000,68
00014738,17,188,73,425000,60
00007971,36,180,77,275000,67
00004840,27,187,82,1900000,70
00004251,31,174,75,2100000,71
00002784,32,177,78,3100000,73
00011360,26,190,80,400000,64
00015988,29,180,77,150000,59
00006160,34,188,87,400000,69
00008910,27,183,72,575000,66
00010296,26,172,74,625000,65
00009296,30,180,74,525000,66
00004857,28,186,76,1800000,70
00005485,21,175,74,1600000,69
00012354,23,181,77,450000,63
00009851,24,176,74,750000,65
00009673,21,175,72,925000,65
00012183,21,170,72,575000,63
00000651,29,180,75,12500000,79
00003200,23,175,67,3800000,72
00002678,25,181,75,5000000,73
00004254,33,176,68,1400000,71
00003719,29,184,80,3100000,72
00005029,35,184,77,550000,70
00007396,21,191,85,1200000,67
00000527,24,187,82,15000000,79
00001926,30,174,75,6000000,75
00003126,22,178,76,4700000,72
00006477,22,176,68,1400000,68
00006692,24,172,66,1000000,68
00016105,18,180,78,250000,58
00008414,30,180,67,700000,67
00003111,23,185,77,4400000,72
00005048,31,175,75,1300000,70
00006796,28,186,74,900000,68
00013133,20,175,63,525000,62
00015822,23,185,74,230000,59
00009669,21,182,71,875000,65
00010264,27,186,76,525000,65
00006928,33,183,75,425000,68
00000322,33,189,82,9500000,81
00008392,28,185,70,775000,67
00011029,19,177,64,625000,64
00010435,29,185,80,550000,65
00016299,22,170,65,220000,58
00003429,37,188,83,325000,72
00001739,27,193,91,8000000,75
00000225,25,171,70,28000000,82
00000287,26,184,78,16500000,81
00001080,30,175,66,7000000,77
00010339,36,180,76,190000,65
00001565,24,166,60,8500000,75
00005915,27,181,74,1000000,69
00004057,25,178,74,2600000,71
00011789,32,189,81,300000,64
00001620,23,178,80,9000000,75
00010859,19,180,70,775000,64
00000274,19,181,72,22500000,81
00004785,27,185,80,1600000,70
00003677,31,175,75,2800000,72
00009103,29,183,73,600000,66
00000641,28,181,83,13000000,79
00006966,31,180,82,675000,68
00011866,28,171,68,450000,64
00006823,26,197,87,775000,68
00000040,32,180,69,39000000,87
00001796,37,180,75,2200000,75
00001593,22,183,75,8500000,75
00009728,22,179,75,825000,65
00007502,23,183,72,1000000,67
00010618,28,196,75,525000,65
00001592,22,190,86,8000000,75
00000969,25,182,74,10000000,77
00005988,31,183,78,900000,69
00001981,33,192,86,3100000,75
00013176,22,185,81,500000,62
00002925,29,180,74,4000000,73
00006432,22,179,73,1400000,68
00000756,27,184,76,11000000,78
00008271,33,186,85,400000,67
00012047,21,178,64,625000,63
00005492,22,172,70,1600000,69
00010382,38,184,75,110000,65
00013739,29,191,90,250000,62
00012657,27,191,85,375000,63
00001835,30,186,82,6000000,75
00013841,30,180,76,240000,62
00010411,30,181,83,450000,65
00011184,23,180,70,625000,64
00001836,33,189,76,3100000,75
00008713,22,189,80,825000,66
00004483,28,175,67,2400000,71
00002487,28,172,71,4800000,74
00007175,28,180,75,775000,68
00004988,35,188,90,475000,70
00006983,32,179,79,550000,68
00012157,22,168,71,575000,63
00001823,34,177,71,3200000,75
00012717,34,185,72,180000,63
00004705,24,188,78,2400000,70
00000352,29,173,67,14500000,81
00015033,20,170,63,325000,60
00011694,26,180,82,475000,64
00012448,23,176,74,500000,63
00009380,32,182,79,525000,66
00002101,23,183,77,7000000,74
00010630,36,175,75,120000,65
00008662,22,185,81,850000,66
00004876,27,183,75,1900000,70
00002090,23,183,71,8000000,74
00002805,34,184,83,1800000,73
00009340,31,192,88,575000,66
00007179,28,178,73,800000,68
00006975,33,184,80,575000,68
00012180,23,165,61,575000,63
00004012,24,176,69,3100000,71
00000319,34,188,89,9500000,81
00013902,18,187,77,525000,61
00009964,25,183,73,700000,65
00011306,24,183,70,600000,64
00009405,33,190,88,350000,66
00004422,30,183,82,2000000,71
00010111,26,185,83,600000,65
00000548,24,180,69,16000000,79
00007321,19,168,61,1600000,67
00000052,32,167,68,34500000,86
00010712,32,169,73,425000,65
00011747,27,174,63,475000,64
00001298,26,196,80,6500000,76
00012596,27,185,83,375000,63
00006056,34,178,79,500000,69
00009832,23,182,85,800000,65
00003399,26,169,70,3700000,72
00004380,27,177,75,2100000,71
00015361,28,178,79,200000,60
00004527,20,180,72,3500000,70
00010668,30,179,79,425000,65
00003435,35,192,84,950000,72
00008220,26,191,88,725000,67
00009158,33,178,71,325000,66
00003933,23,188,82,3300000,71
00013746,30,177,79,300000,62
00006448,23,188,84,1400000,68
00000046,29,176,73,50500000,87
00004871,25,174,70,2200000,70
00005034,31,188,84,1500000,70
00013259,20,185,81,425000,62
00000799,33,169,67,6000000,78
00015559,20,173,74,350000,59
00014295,23,183,72,325000,61
00000151,21,181,73,35000000,83
00000661,29,179,81,12500000,79
00005518,23,185,82,1400000,69
00002216,30,189,87,4400000,74
00000933,23,180,67,12000000,77
00005624,22,182,76,1400000,69
00009587,18,177,67,1100000,65
00003566,33,195,93,1700000,72
00012267,23,186,79,475000,63
00013142,21,185,77,475000,62
00016065,30,185,73,130000,59
00008650,23,180,70,850000,66
00010654,31,181,82,400000,65
00005823,25,177,73,1300000,69
00003475,31,188,79,2200000,72
00002043,17,187,86,9500000,74
00003354,27,190,84,3100000,72
00009505,28,192,88,575000,66
00002307,34,192,88,2500000,74
00005613,23,183,70,1400000,69
00003687,28,190,81,2700000,72
00002764,33,183,73,2400000,73
00009920,24,178,67,750000,65
00001344,37,187,83,1700000,76
00013425,22,193,68,375000,62
00002919,34,173,70,2000000,73
00009278,29,176,71,550000,66
00013313,23,181,81,400000,62
00006662,24,176,79,1200000,68
00002873,29,184,73,3800000,73
00012758,30,185,80,350000,63
00000512,20,192,77,18000000,79
00005636,23,185,76,1300000,69
00007611,23,189,81,1100000,67
00000569,28,183,78,12500000,79
00007976,33,193,88,400000,67
00010036,26,187,80,625000,65
00010398,30,182,76,525000,65
00002962,33,191,90,2500000,73
00005620,23,188,82,1100000,69
00013187,22,183,71,450000,62
00006030,31,186,77,950000,69
00003466,32,189,78,2000000,72
00017274,21,180,77,160000,56
00009214,31,169,70,575000,66
00007145,28,185,81,775000,68
00011514,27,185,88,450000,64
00005136,28,181,72,1800000,70
00009005,26,180,73,800000,66
00006895,25,184,80,1100000,68
00004938,27,186,84,2000000,70
00008595,22,177,73,900000,66
00011068,24,190,75,600000,64
00009475,33,185,75,350000,66
00005171,28,182,77,1800000,70
00010997,21,176,62,625000,64
00009629,22,189,75,875000,65
00005274,33,194,87,950000,70
00018492,22,190,88,70000,52
00008641,21,175,73,950000,66
00016534,26,190,82,150000,58
00007001,29,183,76,850000,68
00009365,30,178,74,625000,66
00005826,26,200,90,925000,69
00002064,22,186,76,8500000,74
00012373,22,164,60,450000,63
00000269,29,177,73,22000000,82
00016841,22,174,71,160000,57
00006047,34,189,78,400000,69
00000193,29,176,77,26000000,83
00000713,21,193,82,11000000,78
00001049,32,178,73,6500000,77
00000032,26,189,85,56000000,87
00012119,21,183,74,600000,63
00014885,21,189,87,375000,60
00004985,33,180,73,1100000,70
00010315,28,186,77,525000,65
00008865,26,184,72,600000,66
00014733,20,175,63,425000,60
00004673,22,183,82,2500000,70
00013680,32,186,82,180000,62
00008005,34,183,78,275000,67
00015259,25,183,80,250000,60
00004024,26,196,93,2100000,71
00007966,36,193,85,130000,67
00009883,23,175,68,750000,65
00010225,28,192,78,475000,65
00000464,28,182,74,15000000,80
00005540,22,179,72,1600000,69
00001689,27,185,86,7000000,75
00000162,29,184,81,22000000,83
00009118,27,167,60,650000,66
00004323,34,185,80,900000,71
00007839,27,184,85,800000,67
00010401,34,190,89,200000,65
00013504,25,189,79,400000,62
00008072,30,176,75,600000,67
00010510,28,167,64,550000,65
00009076,26,175,65,650000,66
00002351,33,195,85,3000000,74
00014027,19,173,58,425000,61
00009527,29,173,67,525000,66
00003274,24,179,65,3900000,72
00001737,26,175,76,7500000,75
00001192,22,177,70,10000000,76
00015398,28,162,58,180000,60
00002504,22,187,82,5000000,73
00010976,22,187,85,625000,64
00006333,31,184,74,775000,69
00000575,28,184,78,12500000,79
00013192,22,170,61,450000,62
00009131,38,188,94,70000,66
00008936,26,183,77,575000,66
00008348,29,168,62,750000,67
00000262,32,188,85,13500000,82
00000107,24,184,76,41000000,84
00017095,28,183,74,110000,57
00003283,27,185,79,2700000,72
00015311,26,186,86,230000,60
00001802,34,184,82,2500000,75
00007371,20,165,61,1400000,67
00008295,30,175,74,625000,67
00004781,24,185,80,2000000,70
00017426,24,183,77,110000,56
00004625,22,173,72,2400000,70
00004754,26,189,90,2000000,70
00003663,29,177,73,3000000,72
00003981,26,191,87,2700000,71
00012636,26,176,72,450000,63
00007685,23,178,71,900000,67
00005119,30,184,73,1700000,70
00011931,20,178,65,800000,63
00001076,30,193,79,6000000,77
00010353,36,180,64,120000,65
00011258,24,175,70,600000,64
00014302,22,171,68,350000,61
00001402,29,183,78,7500000,76
00014566,30,184,79,240000,61
00011241,26,191,82,450000,64
00005253,31,178,79,1300000,70
00015442,29,190,82,180000,60
00000880,32,168,71,8000000,78
00003938,24,176,82,2900000,71
00008846,25,180,75,750000,66
00014538,26,180,77,250000,61
00007093,28,179,72,900000,68
00006910,29,195,90,725000,68
00007891,28,192,85,675000,67
00006846,28,191,82,875000,68
00004447,29,190,84,2000000,71
00001201,24,183,72,11000000,76
00018483,19,174,68,70000,52
00005728,26,185,85,1200000,69
00000972,25,189,90,11500000,77
00008264,29,185,76,650000,67
00015306,26,182,79,230000,60
00006512,22,190,81,1200000,68
00003616,30,183,77,2600000,72
00001564,24,177,79,9500000,75
00015555,20,181,68,350000,59
00014895,20,183,72,350000,60
00011486,28,186,78,375000,64
00004706,25,177,71,2300000,70
00002548,23,175,71,5000000,73
00008603,20,175,70,1000000,66
00012232,21,186,75,500000,63
00003653,27,186,84,3200000,72
00005557,22,181,75,1300000,69
00008667,22,166,62,950000,66
00003928,23,185,78,3200000,71
00002916,27,171,66,4200000,73
00006701,24,180,79,1200000,68
00015298,25,188,70,275000,60
00004111,27,170,69,2400000,71
00014457,25,175,68,325000,61
00005580,23,176,68,1500000,69
00009374,29,179,67,625000,66
00002328,30,189,90,4600000,74
00005883,26,186,70,1100000,69
00008052,34,192,90,400000,67
00008124,29,179,76,750000,67
00010171,28,193,83,550000,65
00006723,26,196,86,1000000,68
00000894,31,185,80,9000000,78
00001892,32,189,80,5000000,75
00006849,26,183,72,1100000,68
00006424,22,172,71,1500000,68
00011466,27,188,77,450000,64
00013489,26,187,78,350000,62
00001054,32,191,86,5500000,77
00017016,24,179,68,120000,57
00012653,27,174,73,375000,63
00007401,21,183,79,1200000,67
00007671,24,193,85,750000,67
00001545,21,168,70,10000000,75
00000111,24,190,93,30000000,84
00008997,27,181,75,675000,66
00008992,29,183,75,550000,66
00015878,22,178,70,220000,59
00001369,31,184,80,4900000,76
00006726,26,186,90,1000000,68
00011083,23,173,67,675000,64
00009786,23,191,85,625000,65
00004957,26,180,70,2100000,70
00003498,30,182,80,3000000,72
00012062,20,185,78,600000,63
00002679,25,176,70,4900000,73
00002976,30,180,74,3200000,73
00006968,31,188,85,675000,68
00006237,30,190,68,1000000,69
00002791,34,180,78,1400000,73
00003145,22,191,84,4200000,72
00008996,27,185,88,675000,66
00013541,24,192,89,350000,62
00000426,27,181,79,17500000,80
00002715,27,173,72,4100000,73
00001391,30,182,77,6500000,76
00006607,24,187,77,1100000,68
00006979,32,178,72,675000,68
00008607,22,178,75,1000000,66
00017733,23,174,70,120000,55
00011525,34,178,70,220000,64
00004122,27,171,62,2700000,71
00012835,31,178,73,325000,63
00008278,32,187,79,500000,67
00010803,21,175,80,1000000,64
00001345,36,190,92,1300000,76
00000314,25,192,80,21000000,81
00001842,34,190,90,2500000,75
00003456,34,186,78,1600000,72
00001546,22,188,77,7500000,75
00000253,29,183,76,21500000,82
00006337,33,165,68,650000,69
00012137,22,183,72,525000,63
00011515,28,178,75,450000,64
00000590,26,185,78,15000000,79
00008042,31,194,89,500000,67
00010850,20,183,81,800000,64
00002406,29,175,73,4800000,74
00004645,23,175,72,2300000,70
00004275,31,172,75,1800000,71
00002441,27,175,69,6000000,74
00000430,36,180,80,5000000,80
00000034,26,178,64,53000000,87
00003382,27,167,68,3500000,72
00005957,36,182,78,210000,69
00006185,31,181,80,950000,69
00008393,27,174,72,775000,67
00005233,34,176,71,875000,70
00000152,25,188,78,30000000,83
00001032,36,180,74,1900000,77
00007924,26,186,74,800000,67
00001992,27,176,73,7000000,75
00004512,29,183,73,2000000,71
00010539,30,189,78,450000,65
00016560,25,176,71,140000,58
00001666,25,175,73,8500000,75
00000374,23,173,67,20500000,80
00005796,25,179,70,1200000,69
00003083,20,183,73,5500000,72
00008587,22,180,72,900000,66
00008246,33,188,88,400000,67
00014348,23,168,70,325000,61
00010474,28,182,78,525000,65
00009244,29,185,75,525000,66
00007987,35,180,72,220000,67
00001639,24,184,77,6500000,75
00012307,22,193,88,525000,63
00002178,27,189,87,6000000,74
00003339,26,178,74,3700000,72
00000579,28,190,84,10500000,79
00005887,28,192,95,1000000,69
00010921,20,183,72,725000,64
00011158,23,184,82,650000,64
00004630,22,194,89,2000000,70
00005147,29,180,75,1700000,70
00010731,33,195,90,250000,65
00003346,28,189,83,3100000,72
00009976,26,185,75,625000,65
00007626,23,184,67,925000,67
00001989,30,178,68,6500000,75
00005527,22,186,78,1400000,69
00013376,23,185,75,375000,62
00005997,33,170,64,475000,69
00011918,19,188,80,775000,63
00001880,29,180,78,5500000,75
00003347,30,189,88,2400000,72
00012234,23,185,76,550000,63
00002164,23,195,85,7500000,74
00005167,32,187,86,1400000,70
00005591,24,191,88,1300000,69
00011831,36,183,80,80000,64
00001901,28,179,74,5500000,75
00011078,23,190,77,500000,64
00001290,26,186,82,9500000,76
00007837,27,183,76,800000,67
00010742,19,178,72,900000,64
00010604,31,182,75,400000,65
00006165,29,188,84,875000,69
00011839,31,191,86,325000,64
00011237,25,187,83,525000,64
00012139,22,185,72,600000,63
00005178,27,180,73,1900000,70
00009015,25,179,61,775000,66
00002760,37,188,82,400000,73
00002660,26,180,78,4900000,73
00010660,32,167,69,425000,65
00016416,21,194,76,180000,58
00003909,20,187,81,3300000,71
00013071,20,184,70,525000,62
00016343,20,191,81,200000,58
00000968,26,177,72,11000000,77
00010131,25,187,83,675000,65
00014956,20,178,70,325000,60
00002900,29,176,75,3300000,73
00006902,28,181,78,875000,68
00010897,22,179,77,800000,64
00009873,22,184,81,675000,65
00001107,28,178,73,9000000,77
00002809,31,174,71,3500000,73
00006057,30,170,73,825000,69
00002928,29,174,74,3800000,73
00011161,21,166,59,650000,64
00010048,25,190,84,675000,65
00002261,33,177,76,3400000,74
00006071,28,176,79,900000,69
00007555,24,193,84,1100000,67
00004315,29,180,81,2400000,71
00001804,34,175,73,2300000,75
00002699,25,174,72,4900000,73
00008919,26,191,85,725000,66
00002490,20,168,61,9000000,73
00010308,27,179,87,625000,65
00013933,18,174,70,525000,61
00005452,22,173,77,1700000,69
00014683,28,189,86,220000,61
00010737,17,167,63,900000,64
00004580,21,175,75,2600000,70
00003946,24,184,78,2800000,71
00008262,30,174,70,600000,67
00008530,21,190,85,900000,66
00008428,17,183,78,1300000,66
00006710,24,201,95,1000000,68
00009799,23,187,83,700000,65
00000150,22,183,72,30500000,83
00004229,33,190,82,1100000,71
00001634,25,191,75,7500000,75
00004303,28,178,76,2400000,71
00000819,30,175,73,8500000,78
00013735,28,175,73,300000,62
00004221,35,187,85,725000,71
00014553,33,188,78,160000,61
00004115,27,186,78,2400000,71
00011594,29,180,67,375000,64
00004672,24,178,76,2200000,70
00000126,31,186,81,23500000,84
00010237,27,175,58,600000,65
00015053,23,183,72,325000,60
00007102,29,185,77,875000,68
00002412,28,180,75,4800000,74
00010151,25,180,75,675000,65
00001026,34,175,65,4500000,77
00005414,19,175,66,2100000,69
00007726,25,173,72,875000,67
00013235,22,165,64,475000,62
00002184,25,176,72,7000000,74
00008455,21,185,80,1400000,66
00004456,29,193,89,2000000,71
00002629,23,169,68,5000000,73
00012046,22,173,70,625000,63
00006419,22,183,77,1400000,68
00000519,24,178,72,17500000,79
00000447,33,190,92,8000000,80
00009470,28,177,73,675000,66
00002899,32,179,75,3100000,73
00003746,28,175,70,3100000,72
00004849,26,176,74,2200000,70
00001465,31,192,84,5500000,76
00001493,28,176,72,8000000,76
00000674,28,175,70,11000000,79
00008959,26,180,73,725000,66
00008133,30,187,80,700000,67
00004478,24,176,73,2600000,71
00007566,24,188,69,975000,67
00001818,32,183,73,5500000,75
00004020,26,187,74,2100000,71
00002274,35,172,75,1600000,74
00005324,32,185,79,1100000,70
00000361,28,172,68,15000000,81
00011469,28,177,67,450000,64
00007073,34,185,77,350000,68
00015394,30,185,79,170000,60
00000639,30,180,77,12000000,79
00016003,37,188,82,30000,59
00002472,28,177,71,5500000,74
00003744,28,186,79,2700000,72
00000194,29,182,78,18500000,83
00003366,26,173,72,3700000,72
00004173,35,181,71,750000,71
00004084,26,174,69,2900000,71
00003767,28,183,74,3100000,72
00002033,24,181,70,6500000,75
00012424,23,175,74,500000,63
00009496,28,174,68,550000,66
00001070,30,184,72,8500000,77
00007793,26,186,82,850000,67
00001390,31,187,72,7000000,76
00002907,29,178,72,3900000,73
00000888,28,175,72,10500000,78
00005884,27,186,78,1100000,69
00005364,28,176,68,1500000,70
00001131,27,171,65,8000000,77
00005075,31,196,93,1300000,70
00006856,28,187,80,875000,68
00003170,24,171,61,4300000,72
00006881,29,186,83,850000,68
00003765,24,182,78,3000000,72
00005891,27,191,84,1200000,69
00001238,24,175,73,10500000,76
00005448,21,183,76,1800000,69
00004460,20,172,76,2400000,71
00002218,27,182,72,6500000,74
00004403,28,176,71,2400000,71
00007912,26,184,78,800000,67
00010875,22,182,78,750000,64
00001018,27,179,68,9000000,77
00003271,25,187,80,3400000,72
00007097,28,191,86,775000,68
00003877,21,187,77,3200000,71
00000397,25,191,83,14000000,80
00006214,29,177,69,1000000,69
00000629,30,174,72,12000000,79
00000119,27,181,71,31000000,84
00005836,26,185,83,1300000,69
00002009,28,177,74,4900000,75
00000010,27,191,91,62500000,90
00000200,29,175,74,25000000,83
00002470,28,175,72,5500000,74
00000650,30,183,75,10000000,79
00006083,31,180,71,775000,69
00003702,27,168,59,3300000,72
00004123,27,175,78,2400000,71
00008268,28,178,70,775000,67
00005176,30,183,78,1700000,70
00006514,22,192,82,1000000,68
00007098,29,182,79,900000,68
00003032,24,183,79,4400000,73
00004457,30,172,66,2200000,71
00008425,30,179,76,725000,67
00000224,26,190,80,27500000,82
00001165,32,175,68,5500000,77
00005610,24,187,76,1300000,69
00003559,29,180,77,3100000,72
00000472,29,185,80,12000000,80
00001924,30,174,70,6000000,75
00000586,26,188,84,14500000,79
00001566,23,175,62,9000000,75
00008622,24,194,87,725000,66
00002230,28,182,78,5500000,74
00015081,23,180,77,325000,60
00000534,24,184,78,17000000,79
00002445,30,177,74,4600000,74
00007135,29,181,78,850000,68
00001482,28,186,79,7000000,76
00000790,33,187,82,5500000,78
00011154,24,181,75,625000,64
00010307,28,189,79,525000,65
00007152,30,185,79,750000,68
00010282,27,185,85,525000,65
00009289,29,184,78,525000,66
00010397,34,177,74,275000,65
00000384,23,175,69,17500000,80
00004495,28,181,75,2100000,71
00005342,20,184,82,1800000,70
00001430,31,185,82,6000000,76
00001178,17,178,66,15000000,76
00007760,27,191,86,825000,67
00000885,20,182,79,10000000,78
00003491,32,175,67,1900000,72
00000689,20,172,63,17000000,78
00001078,31,186,77,6500000,77
00001261,26,180,71,9000000,76
00004310,31,182,76,1800000,71
00003672,30,180,70,2900000,72
00001542,22,186,89,10500000,75
00013539,25,181,80,375000,62
00003233,24,181,70,3800000,72
00000890,20,170,60,11500000,78
00005704,24,168,61,1200000,69
00006309,26,182,75,1100000,69
00000665,26,178,72,13500000,79
00001528,23,180,72,9000000,75
00006947,34,185,82,325000,68
00000128,30,178,77,24500000,84
00006396,19,178,67,1600000,68
00004157,26,173,73,2700000,71
00006177,33,182,92,500000,69
00004903,27,183,78,2100000,70
00004937,27,176,73,1800000,70
00004508,29,169,62,2300000,71
00011797,30,168,50,350000,64
00003691,30,176,79,2900000,72
00000466,29,180,74,12500000,80
00003488,30,174,74,2500000,72
00004697,24,183,70,2500000,70
00006005,32,191,85,675000,69
00003911,19,194,75,2900000,71
00007663,24,176,71,1000000,67
00009450,27,180,69,675000,66
00006092,29,188,78,1100000,69
00013045,20,174,69,625000,62
00002825,30,169,61,3700000,73
00002738,27,186,80,4000000,73
00007656,23,180,68,1000000,67
00014405,25,183,76,275000,61
00006212,34,182,84,375000,69
00003595,27,183,77,2800000,72
00006931,34,183,80,475000,68
00004877,26,188,84,1900000,70
00003432,32,194,86,1900000,72
00002979,31,183,76,3000000,73
00006955,32,183,77,675000,68
00005606,24,180,75,1300000,69
00007130,28,176,73,900000,68
00006101,28,180,70,1100000,69
00009998,25,186,76,625000,65
00006754,24,178,80,1100000,68
00000760,26,178,68,12500000,78
00008509,21,188,75,1100000,66
00012742,30,187,85,250000,63
00009700,20,173,65,800000,65
00008841,24,183,79,750000,66
00012997,20,188,72,625000,62
00007678,23,182,72,1000000,67
00005350,31,177,79,1600000,70
00005387,28,180,72,1500000,70
00011166,24,189,87,550000,64
00004699,21,170,57,2200000,70
00013672,34,185,81,130000,62
00009848,24,180,72,700000,65
00015544,20,185,74,325000,59
00003917,25,185,79,2400000,71
00000597,32,187,88,7500000,79
00016669,20,185,70,190000,57
00002092,23,179,82,7000000,74
00011722,30,190,88,375000,64
00014292,22,182,73,325000,61
00006854,25,175,76,1100000,68
00000425,27,182,76,14500000,80
00003149,24,185,74,3900000,72
00002563,23,180,75,5500000,73
00006378,19,186,82,1600000,68
00015460,29,176,75,200000,60
00004492,30,183,74,1900000,71
00011699,27,184,81,400000,64
00001301,27,190,83,8000000,76
00001834,31,182,74,6000000,75
00000818,31,196,83,9500000,78
00001563,22,188,74,7000000,75
00002326,31,186,75,4200000,74
00008315,32,178,73,475000,67
00013977,21,181,72,550000,61
00002849,32,175,68,3200000,73
00000598,37,193,90,1300000,79
00006768,24,167,56,1100000,68
00013598,26,185,66,275000,62
00010741,19,171,63,975000,64
00017755,22,183,74,110000,55
00007442,23,187,85,1100000,67
00003074,22,183,79,4900000,72
00009668,21,180,65,925000,65
00000435,34,184,77,8000000,80
00015962,25,180,71,200000,59
00013713,30,180,76,275000,62
00012470,24,178,73,500000,63
00006630,25,190,86,1200000,68
00003440,35,193,95,850000,72
00011356,24,180,68,500000,64
00007113,28,180,77,900000,68
00005967,31,176,81,750000,69
00007996,32,192,91,475000,67
00001707,29,191,102,5500000,75
00013371,23,182,83,425000,62
00010076,26,189,75,625000,65
00014410,24,178,75,325000,61
00005222,27,185,76,1900000,70
00001077,30,193,86,7000000,77
00011943,21,182,71,800000,63
00004250,31,181,78,2100000,71
00004137,27,174,64,2700000,71
00010303,26,190,85,575000,65
00013532,25,185,80,350000,62
00003873,22,184,79,3500000,71
00005938,33,175,70,500000,69
00003441,38,193,87,325000,72
00004340,28,177,71,2400000,71
00000509,20,184,68,17000000,79
00002509,23,193,84,4800000,73
00005584,23,179,67,1400000,69
00008147,30,180,71,725000,67
00013884,29,188,86,250000,62
00014511,26,178,68,300000,61
00017117,18,173,65,190000,56
00013378,24,177,77,425000,62
00011198,23,186,79,550000,64
00004270,29,186,86,2400000,71
00005239,28,184,82,1800000,70
00007900,28,188,85,750000,67
00008028,31,184,80,550000,67
00011151,24,191,87,650000,64
00003131,24,185,74,4200000,72
00000419,29,187,78,12000000,80
00005614,22,177,70,1300000,69
00000076,28,190,82,33500000,85
00003564,31,184,74,2000000,72
00002371,29,170,64,5500000,74
00004343,27,183,80,2100000,71
00014075,20,169,73,450000,61
00005850,28,185,76,1000000,69
00000175,33,180,75,12500000,83
00008138,30,192,83,525000,67
00002051,20,171,75,9500000,74
00012739,31,170,68,325000,63
00016598,28,175,78,130000,58
00001302,27,190,79,8000000,76
00004448,32,186,80,1400000,71
00000632,30,180,82,10000000,79
00003216,25,173,64,3600000,72
00000298,25,185,85,19500000,81
00006773,24,179,71,1100000,68
00008556,22,178,75,925000,66
00009443,32,185,79,425000,66
00007932,28,184,80,750000,67
00011669,32,195,90,300000,64
00013467,24,182,71,400000,62
00008396,29,172,66,725000,67
00015264,25,191,75,240000,60
00015367,37,183,83,20000,60
00004744,23,179,74,2100000,70
00008697,23,195,77,675000,66
00010210,26,191,85,575000,65
00007949,26,180,73,900000,67
00003548,30,190,82,2500000,72
00003179,21,172,70,4400000,72
00001871,31,185,85,4800000,75
00014700,18,187,74,400000,60
00005738,26,179,78,1300000,69
00003134,22,180,72,4600000,72
